CompanyID,CompanyName,Industry,Region,Year,Revenue,ProfitMargin,MarketCap,GrowthRate,ESG_Overall,ESG_Environmental,ESG_Social,ESG_Governance,CarbonEmissions,WaterUsage,EnergyConsumption,CarbonIntensity,EnergyIntensity,WaterIntensity,ESG_Avg,ESG_Std,Profit_Growth,Size,Efficiency,Year_norm,Revenue_growth_company,ESG_Class,Industry_enc,Region_enc,ESG_Class5
1,Company_1,Retail,Latin America,2015,6.131661177601265,6.0,5.82452409235233,4.333962264150943,57.0,60.7,33.5,76.8,10.47949399112493,9.786374917111283,11.17262571274768,1.70815367,1.820622556,1.595687394,56.73333333,22.92691286,14.72,12.06988905,0.746402624,1.0,0.005093642,1.0,5,3,2
1,Company_1,Retail,Latin America,2016,6.162893662735513,4.6,5.906995390481532,3.2,56.7,58.9,32.8,78.5,10.52716942860165,9.834051725816137,11.22030320988596,1.690419161,1.79977409,1.581066161,56.46666667,21.92198288,99.84,12.08908344,0.820394064,2.0,0.028480732,1.0,5,3,2
1,Company_1,Retail,Latin America,2017,6.338417384148478,5.2,5.750666060555051,19.2,56.5,57.6,34.0,77.8,10.7145821996774,10.02145723743912,11.40771938183153,1.68500651,1.794560844,1.575454399,58.0,22.75675724,-4.73,11.97583902,0.679641521,3.0,-0.001822632,1.0,5,3,2
1,Company_1,Retail,Latin America,2018,6.32686478076786,4.3,5.648974238161206,-1.1,58.0,62.3,33.4,78.3,10.66080834391197,9.967686953679014,11.35394380137613,1.683683925,1.7933595,1.574010244,56.6,23.85602649,-3.43,12.60976969,0.775332575,4.0,-0.001105788,1.0,5,3,2
1,Company_1,Retail,Latin America,2019,6.319868609079685,4.9,6.289901082457623,-0.7,56.6,63.7,30.0,76.1,10.64066118784505,9.947537930214995,11.33379640672543,1.679216809,1.788492606,1.569943063,55.7,23.92739016,13.8,12.29650435,0.945924446,5.0,0.003660314,1.0,5,3,2
1,Company_1,Retail,Latin America,2020,6.343001313190591,6.0,5.953503040820864,2.3,55.7,65.1,28.5,73.5,10.6512744220544,9.958150911870268,11.34441095076243,1.670103279,1.778311948,1.561896549,55.6333333333333,26.38604429,33.8,12.57996989,0.811794882,6.0,0.009862471,1.0,5,3,2
1,Company_1,Retail,Latin America,2021,6.405558981914201,5.2,6.174410908670779,6.5,55.6,66.8,25.5,74.6,10.69794505779254,10.00482046829151,11.39108207220947,1.668667018,1.777186196,1.560150049,57.66666667,26.76459104,-7.56,11.906274,0.657563487,7.0,-0.002863609,1.0,5,3,2
1,Company_1,Retail,Latin America,2022,6.387215963028507,4.2,5.519058033245936,-1.8,57.7,69.0,27.1,76.9,10.65813661706434,9.965015295827332,11.35127204316553,1.6623858,1.769717865,1.555055757,57.8,27.11991888,38.69,12.38452728,0.8207043,8.0,0.011061469,1.0,5,3,2
1,Company_1,Retail,Latin America,2023,6.457867953321226,5.3,5.926659323741866,7.3,57.8,68.3,27.0,78.1,10.73546798350074,10.042344737916,11.42860428433712,1.653784473,1.759869325,1.547700707,58.53333333,25.10982543,36.34,12.66740378,0.704032547,9.0,0.011756339,1.0,5,3,2
1,Company_1,Retail,Latin America,2024,6.533788837933344,4.6,6.13361493921266,7.9,58.5,68.9,29.9,76.8,10.80547852850645,10.11234960702457,11.49861455057679,1.644601708,1.749613933,1.539591092,59.26666667,26.37884253,34.5,13.04595285,0.75751257,10.0,0.010217915,1.0,5,3,2
1,Company_1,Retail,Latin America,2025,6.600550540041493,5.0,6.445402308666925,6.9,59.2,70.7,29.1,78.0,10.85527669376315,10.16214881550231,11.54841518816695,1.539789456,1.625868887,1.453710357,60.56666667,10.21045216,-7.7,17.59104283,-0.136605371,1.0,0.00847326,1.0,5,3,2
2,Company_2,Retail,Asia,2015,7.984735267523133,-2.9,7.497817131458757,4.333962264150943,59.9,61.1,48.6,69.8,12.33074390282238,11.63760113618802,13.02388865571495,1.53293028,1.617976635,1.447884224,61.66666667,8.703064594,-22.66,16.72277927,-0.269931757,2.0,0.012147463,1.0,5,1,2
2,Company_2,Retail,Asia,2016,8.052392005961526,-1.1,9.53865082020532,7.0,60.6,61.1,50.1,70.5,12.39898830281084,11.70584565727395,13.09213362812815,1.543494896,1.630285529,1.456704485,61.43333333,9.302866942,25.67,16.37780611,-0.212861787,3.0,-0.020098286,1.0,5,1,3
2,Company_2,Retail,Asia,2017,8.15020813762592,-2.2,8.572571132265551,10.3,61.7,61.4,53.1,70.5,12.49370084153064,11.80055778618444,13.18684633449825,1.537818223,1.623947794,1.451688862,61.13333333,7.837303958,7.56,14.38876595,0.1491109,4.0,0.007675358,1.0,5,1,3
2,Company_2,Retail,Asia,2018,7.98640292723065,-1.7,8.391403185357937,-15.1,61.5,61.7,52.0,70.6,12.32697215327209,11.63382896025771,13.02011711852207,1.539277233,1.625848562,1.452706182,63.33333333,5.056019515,1.2,15.60693648,-0.037468928,5.0,-0.005102977,1.0,5,1,3
2,Company_2,Retail,Asia,2019,8.047701431143224,1.2,6.341064522374751,6.3,61.1,63.1,52.5,67.8,12.37590191426684,11.68275853083959,13.06904698530239,1.537171556,1.623157548,1.451185822,63.0,3.05122926,-2.24,17.71846463,-0.049620774,6.0,0.006807555,1.0,5,1,3
2,Company_2,Retail,Asia,2020,8.006634198767678,-0.3,7.60030227947005,-4.0,63.3,64.2,57.9,67.9,12.32442973860629,11.63128699993029,13.01757469821686,1.534041457,1.620236965,1.447846195,64.06666667,5.541058864,-1.52,14.2862909,0.099483412,7.0,-0.00243119,1.0,5,1,3
2,Company_2,Retail,Asia,2021,8.061139803497227,-0.4,9.657324831394824,5.6,63.0,62.9,60.0,66.1,12.39135481538101,11.69821178916146,13.08449991876429,1.522985438,1.607370421,1.438600746,66.06666667,4.225320501,-13.16,16.04776556,-0.085219462,8.0,0.021456639,1.0,5,1,3
2,Company_2,Retail,Asia,2022,8.0415416426579,0.8,6.244749255334178,-1.9,64.0,66.7,57.7,67.8,12.3360582593042,11.64291546927493,13.02920302506405,1.52206272,1.606090266,1.438035389,65.7,2.861817604,-4.32,16.91615541,-0.145471718,9.0,0.004253672,1.0,5,1,3
2,Company_2,Retail,Asia,2023,8.214086095961642,-0.7,7.833679459824531,18.8,66.0,66.6,61.6,70.0,12.50993350769125,11.81679038592253,13.20307902783186,1.513318247,1.596002052,1.430634646,66.3,3.774917218,-34.56,18.30526702,-0.286290609,10.0,0.01625211,1.0,5,1,3
2,Company_2,Retail,Asia,2024,8.249026123201743,-1.2,8.667129288066038,3.6,65.7,65.4,63.0,68.7,12.55553514218963,11.86239148695829,13.24868056008061,2.186594911,2.405254078,1.861189457,26.9,17.55648029,-47.6,10.92224462,1.543729999,1.0,-0.01028623,0.0,5,1,3
2,Company_2,Retail,Asia,2025,8.383090206892756,-2.4,9.92217681517379,14.4,66.3,65.8,62.8,70.3,12.68628337959051,11.99313929229082,13.37942916818023,2.155098821,2.368309264,1.837801556,27.9,17.32426045,98.8,11.31915113,1.151082331,2.0,0.025556017,0.0,5,1,3
3,Company_3,Transportation,Latin America,2015,5.563370320939456,5.9,4.950177325059141,4.273846153846153,25.5,3.3,41.6,31.5,12.11896399108197,10.3272312513695,13.32293275864346,2.143423326,2.354358366,1.829512152,28.23333333,17.89115238,19.53,10.3298018,0.543118864,3.0,0.010787442,0.0,7,3,0
3,Company_3,Transportation,Latin America,2016,5.506144213750353,8.5,5.41610040220442,-5.6,26.9,7.0,40.2,33.5,12.03970691480616,10.24797756075092,13.24367582180815,2.122273286,2.330590234,1.812257749,29.86666667,14.44622211,38.25,11.45523406,0.882428026,4.0,0.012567716,0.0,7,3,0
3,Company_3,Transportation,Latin America,2017,5.64685932725658,6.5,5.672291807564831,15.2,27.9,8.8,42.6,32.3,12.16953987661585,10.37780685584947,13.37350925814856,2.110138097,2.316803141,1.802581303,30.76666667,12.25329888,12.69,10.17598301,0.463463214,5.0,0.007993222,0.0,7,3,0
3,Company_3,Transportation,Latin America,2018,5.707774495925738,3.1,4.622027303054514,6.3,28.2,8.3,42.9,33.5,12.23417699250602,10.44244280241801,13.43814663689452,2.103518218,2.309106501,1.797563536,31.53333333,12.71311659,13.95,10.7222122,0.768414096,6.0,0.005237532,0.0,7,3,0
3,Company_3,Transportation,Latin America,2019,5.779508185184337,5.1,5.675725876873676,7.5,29.8,14.8,43.6,31.2,12.26569582489399,10.47395849522856,13.46966533179632,2.08261661,2.284364886,1.782376208,31.3,13.08472392,83.78,11.76343777,1.189741276,7.0,0.019033894,0.0,7,3,0
3,Company_3,Transportation,Latin America,2020,5.825705078613006,2.7,4.350277936359301,4.7,30.8,17.7,42.0,32.6,12.29304222997984,10.50130705313862,13.49701182583321,2.069635261,2.269260044,1.772555037,32.3,11.81143514,53.46,12.24517383,1.343023905,8.0,0.01063761,0.0,7,3,1
3,Company_3,Transportation,Latin America,2021,5.856217397699957,4.5,4.86599480426999,3.1,31.6,18.5,43.9,32.2,12.31865998467944,10.52692285318451,13.52262966168292,2.056847972,2.254722982,1.762371513,32.13333333,9.066605392,56.65,12.69168999,1.692826197,9.0,0.008842983,0.0,7,3,1
3,Company_3,Transportation,Latin America,2022,5.967684018442578,7.1,5.795753753195012,11.8,31.3,18.8,44.9,30.2,12.42839786209982,10.6366580087253,13.6323678240967,2.040164283,2.235124996,1.750024857,34.33333333,9.662470354,110.2,13.10467457,1.878405202,10.0,0.014948143,0.0,7,3,1
